Arttırılabilir Azami Bellek,Bağlantılar,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Garanti Süresi,Garanti Tipi,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Menşei,Panel Tipi,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,Temel İşlemci Hızı (GHz),Title,Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi
16 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,Belirtilmemiş,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,34.999 TL,8 GB,DDR5,Renkli,512 GB,N/A,LOQ 15IAX9 83GS007XTR i5-12450HX 8GB 512 GB SSD RTX 4060 GDDR6 15.6'' FHD FreeDOS Gaming (Oyu,1920 x 1080,Full HD (FHD),Belirtilmemiş,12. Nesil,Intel Core i5,8,Free Dos,N/A
16 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,120 Hz,2 Yıl,Dell Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,VA,34.899 TL,16 GB,DDR5,Siyah,512 GB,N/A,"G15-5530 Intel Core i7-13650HX 16GB 512GB SSD RTX3050 6GB 15.6"" FHD 120Hz Ubuntu Gaming Laptop",1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,24,Free Dos,N/A
16 GB,USB - Bluetooth - HDMI,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,55W,4 GB ve altı,Harici,144 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,28.089 TL,16 GB,DDR4,Siyah,500 GB,2.3,"Abra A5 V21.3 Intel Core i7 12700H 16 GB RAM 500 GB SSD 4 GB RTX 2050 FreeDOS 15,6"" FHD 144 Hz",1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,105W,6 GB,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.4,N/A,Full HD,34.999 TL,16 GB,DDR5,Luna Gri,512 GB,3.1,"LOQ Intel Core i5-12450HX 16GB 512GB SSD 6GB RTX4050 15.6"" FHD IPS DOS Gaming Laptop 83GS002TTR",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,6 Saat ve Üstü
64 GB,HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,1 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.4,N/A,IPS,26.499 TL,16 GB,DDR4,Siyah,500 GB,2.5,Excalibur G770.1245-BVJ0X-B i5-12450H 16GB RAM 500GB NVMe SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
8 GB,HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,ACER Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,Full HD,23.999 TL,8 GB,DDR4,siyah,1 TB,N/A,"Nitro 5 Intel Core i5-12450H 8GB 1TB SSD RTX3050 FreeDos 15.6"" 144Hz Gaming Laptop NH.QFJEY.009",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
32 GB,USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,DDR4,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,1 TB,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,26.699 TL,16 GB,DDR4,MİKA GÜMÜŞ,1 TB,N/A,"Victus 15-fa0019nt Intel I5 12450h 16gb 1tb Ssd Rtx3050-4gb Dos 15.6"" Fhd 144hz Notebook A0gu6ea",1920 x 1080,FHD+,12450H,12. Nesil,Intel Core i5,4,Free Dos,4-6 Saat
8 GB,HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.6,N/A,IPS,27.299 TL,8 GB,DDR5,siyah,1 TB,2.1,"Nitro V 15 ANV15-51 Intel I5-13420H 8GB 1TB SSD 6GB RTX4050 15.6""FHD IPS 144hz Freedos",1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı
64 GB,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,1 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,42.999 TL,32 GB,DDR4,Gri,2 TB,Belirtilmemiş,Excalibur G870.1270-DXB0X-B Intel Core i7-12700H 32GB RAM 2TB NVMe SSD 8GB RTX4060 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,6 Saat ve Üstü
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,36.399 TL,16 GB,DDR5,Siyah,512 GB,N/A,Nb Cyborg 15 A13ve-1479xtr I7-13620h 16gb Ddr5 Rtx4050 Gddr6 6gb 512gb Ssd 15.6 Fhd 144hz Dos,1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,16,Free Dos,N/A
N/A,HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,ACER Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,32.499 TL,16 GB,DDR5,Siyah,512 GB,N/A,"Nitro5 Intel Core i5-12500H 16GB 512GB SSD 6GB RTX4050 DOS 15.6"" Gaming Laptop NH.QLZEY.006",1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12+,Free Dos,N/A
64 GB,HDMI - USB,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,N/A,N/A,Full HD,39.699 TL,16 GB,DDR5,Siyah,512 GB,N/A,"Katana 17 B12vfk-1031xtr I5-12450h 16gb Ddr5 512gb Ssd 8gb Rtx4060 Gddr6 17.3"" Fhd 144hz Freedos",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,DDR4,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,20.990 TL,8 GB,DDR5,Siyah,512 GB,N/A,"IdeaPad Gaming 3 15ACH6 82K202BRTX R5-5500H 8 GB 512 GB SSD RTX2050 15.6"" Dos FHD Dizüstü Bi",1920 x 1080,Full HD (FHD),5500H,6. Nesil,AMD Ryzen 5,10,Free Dos,N/A
64 GB,Bluetooth - HDMI,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,1 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,Full HD,46.752 TL,16 GB,DDR5,Siyah,1 TB,N/A,"Cyborg 15 A13ve-897xtr I7-13620h 16gb Ddr5 1tb 6gb Rtx4050 Gddr6 15.6"" 144hz Full Hd Notebook",1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Free Dos,N/A
16 GB,USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,DDR4,N/A,4 GB ve altı,Harici,165 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.2,N/A,IPS,20.199 TL,8 GB,DDR4,Siyah/Kırmızı,512 GB,3.3,"Ideapad Gaming 3 AMD Ryzen 5 5500H 8GB 512GB SSD RTX2050 Freedos 15.6"" FHD 82K202BRTX",1920 x 1080,Full HD (FHD),5500H,5. Nesil,AMD Ryzen 5,6,Free Dos,3 Saat ve Altı
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",AMD Radeon RX 6550M,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.5,N/A,IPS,22.999 TL,16 GB,DDR5,Mika Gümüşü,512 GB,N/A,"Victus 15-fb2028nt Amd R5 7535hs 16gb 512gb Ssd Rx6550m-4gb Freedos 15.6"" Fhd 144hz Notebook A44mjea",1920 x 1080,Full HD (FHD),7535HS,7. Nesil,AMD Ryzen 5,6,Free Dos,N/A
16 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.2,N/A,IPS,21.420 TL,16 GB,DDR4,SİYAH,512 GB,3.6,"IdeaPad Gaming3 AMD Ryzen 5-5500H 16GB 512GB SSD RTX2050 DOS 15.6"" IPS FHD Gaming Laptop 82K2029YTX",1920 x 1080,Full HD (FHD),5500H,5. Nesil,AMD Ryzen 5,4,Free Dos,3 Saat ve Altı
64 GB,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,37.499 TL,32 GB,DDR4,Gri,1 TB,Belirtilmemiş,Excalibur G870.1270-DFA0X-B i7-12700H 32GB RAM 1TB NVMe SSD Gen4 6GB RTX4050 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,8,Free Dos,N/A
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,N/A,IPS,20.599 TL,8 GB,DDR5,GRAFİT SİYAH,512 GB,N/A,"TUF GAMING A15 FA506NF-HN051 AMD RYZEN 5-7535HS 8GB 512GB SSD 4GB RTX2050 15.6"" FHD 144Hz FDOS",1920 x 1080,Full HD (FHD),7535HS,7. Nesil,AMD Ryzen 5,6,Free Dos,N/A
16 GB,HDMI - USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,LED,25.999 TL,16 GB,DDR4,Siyah,512 GB,N/A,Thın 15 B12uc-1478xtr I5-12450h 16gb Rtx3050 Gddr6 4gb 512gb Ssd 15.6 Fhd 144hz Dos,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,60W,6 GB,Harici,144 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,35.730 TL,32 GB,DDR4,Siyah,1 TB,2.3,"Abra A5 V21.4.2 Intel Core i7 12700H 32 GB RAM 1 TB SSD 6 GB RTX 3050 FreeDOS 15,6"" FHD 144 Hz",1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat
16 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,140W,8 GB,Harici,144 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,48.999 TL,32 GB,DDR4,Siyah,1 TB,2.3,"Tulpar T7 V20.8.2 Intel Core i7 12700H 32 GB RAM 1 TB SSD 8 GB RTX 4060 FreeDOS 17,3"" FHD 144 Hz",1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,25.999 TL,8 GB,DDR5,Siyah,512 GB,N/A,"LOQ Intel Core i5-12450H 8GB 512GB SSD 15.6"" FHD RTX3050 6GB FreeDOS 144Hz Gaming Laptop 82XV00WYTX",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
128 GB,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,N/A,IPS,37.999 TL,32 GB,DDR4,Gri,1 TB,N/A,Excalibur G870.1245-DFB0X-B i5-12450H 32GB RAM 1TB NVMe SSD GEN4 8GB RTX4060 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
32 GB,Bluetooth,2 kg ve altı,Yok,"15,6 inç",AMD Radeon Graphics,DDR4,N/A,Paylaşımlı,Dahili,60 Hz,1 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmasız),Oyun,N/A,N/A,TN,15.049 TL,8 GB,DDR4,Cloud Gri,256 GB,N/A,"IdeaPad 1 15ALC7 Ryzen 7 5700U 8GB 256GB SSD 15.6"" FHD Freedos 82R4006ETR",1920 x 1080,Full HD (FHD),5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,N/A
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Dahili,165 Hz,2 Yıl,ACER Türkiye Garantili,1 TB,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,N/A,N/A,Full HD,41.699 TL,16 GB,DDR5,Siyah,1 TB,N/A,"Nitro 5 Intel Core I7 12650h 16gb 1tb Ssd Rtx4060-8gb Dos 15.6"" 165 Hz Notebook Nh.qm0ey.00a",1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,8,Linux,4-6 Saat
32 GB,Micro USB,Belirtilmemiş,Yok,"15,6 inç",Nvidia GeForce RTX 4050,Belirtilmemiş,N/A,6 GB,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,Full HD,30.999 TL,8 GB,DDR4,SİYAH,SSD Yok,N/A,"Thın Gf63 12ve-082xtr Intel Core I5 12450h 8gb 512gb Ssd Rtx4050 Freedos 15.6"" Fhd 144hz",1920 x 1080,Ultra HD 4K (UHD),550,12. Nesil,Intel Core i5,16,Free Dos,N/A
32 GB,HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,140W,8 GB,Dahili,165 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.7,N/A,IPS,44.699 TL,32 GB,DDR5,Siyah,1 TB,2.3,"Nitro 5 Intel Core i7 12650H 32GB 1TB SSD RTX4060-8GB Dos 15.6"" 165 NH.QM0EY.00A-32",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i7,10,Free Dos,N/A
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Dahili,144 Hz,2 Yıl,ACER Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,N/A,N/A,IPS,,8 GB,DDR4,Siyah,512 GB,N/A,Nitro5 Intel Core i5-12450H 8GB 512GB SSD RTX3050 Win11 15.6'' FHD 144Hz Gaming Laptop NH.QFJEY.008,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,60W,6 GB,Harici,144 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,35.730 TL,32 GB,DDR4,Siyah,1 TB,2.3,"Abra A5 V21.4.2 Intel Core i7 12700H 32 GB RAM 1 TB SSD 6 GB RTX 3050 FreeDOS 15,6"" FHD 144 Hz",1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat
N/A,Bluetooth - HDMI,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,DDR5,N/A,8 GB,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,N/A,N/A,VA,64.999 TL,32 GB,DDR5,Siyah,1 TB,N/A,KATANA 17 B13VFK-872XTR i7-13620H 32GB DDR5 1TB SSD 8GB RTX4060 17.3 144Hz DOS NOTEBOOK,1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,16,Free Dos,N/A
64 GB,Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,VA,27.599 TL,16 GB,DDR5,Gri,512 GB,N/A,Thın A15 B7uc-077xtr R5-7535hs 16gb Ram 512gb Ssd 4gb Rtx3050 15.6 Fhd 144hz Dos,1920 x 1080,Full HD (FHD),7535HS,7. Nesil,AMD Ryzen 5,12+,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,1 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,N/A,IPS,28.499 TL,16 GB,DDR4,MİKA GÜMÜŞÜ,512 GB,N/A,"Victus Gaming 15-FA0011NT 80D33EA i5 12450H 16GB 512GB SSD RTX3050 Freedos 15.6"" FHD 144Hz",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,4-6 Saat
128 GB,HDMI,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4070,GDDR6,140W,8 GB,Harici,240 Hz,2 Yıl,Game Garaj Türkiye Garantili,HDD Yok,N/A,Q Türkçe (RGB Aydınlatmalı),Oyun,+5,N/A,IPS,"60.867,10 TL",32 GB,DDR5,Siyah,1 TB,3.7,"Slayer3 Qhd 10xl-4070 C2 Intel Core I7 13700h 32gb Ram 1tb Ssd Rtx4070 17.3"" Ips 240hz Fr",2560 x 1440,QHD,13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,95W,6 GB,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.4,N/A,Full HD,30.889 TL,16 GB,DDR5,Ay Grisi,512 GB,Belirtilmemiş,"LOQ Intel Core i5-12450HX 16gb 512gb Ssd RTX™ 3050 6GB 15,6"" Gaming Laptop 83GS008GTR",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,4-6 Saat
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,25.999 TL,8 GB,DDR5,Siyah,512 GB,N/A,"LOQ Intel Core i5-12450H 8GB 512GB SSD 15.6"" FHD RTX3050 6GB FreeDOS 144Hz Gaming Laptop 82XV00WYTX",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
32 GB,USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,DDR4,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,1 TB,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,26.699 TL,16 GB,DDR4,MİKA GÜMÜŞ,1 TB,N/A,"Victus 15-fa0019nt Intel I5 12450h 16gb 1tb Ssd Rtx3050-4gb Dos 15.6"" Fhd 144hz Notebook A0gu6ea",1920 x 1080,FHD+,12450H,12. Nesil,Intel Core i5,4,Free Dos,4-6 Saat
128 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,ACER Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,25.199 TL,8 GB,DDR5,Siyah,512 GB,N/A,"Nitro Core i5 13420H 8GB 512GB SSD RTX 3050 Freedos 15.6"" FHD Notebook NH.QNCEY.001",1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,N/A
4 GB,USB,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,24.190 TL,8 GB,DDR4,SİYAH,512 GB,N/A,"Thın Gf63 12ucx-427xtr Core I5-12450h 8gb Ddr4 Rtx2050 4gd6 512gb Ssd 15.6"" Fhd 144hz Freedos",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,4,Free Dos,N/A
N/A,Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,Full HD,24.999 TL,8 GB,DDR5,Siyah,512 GB,N/A,Tuf Gaming A15 Fa506nf-hn050 4gb Rtx2050 Ryzen 5 7535hs 8gb Ram 512gb Ssd 15.6 Inç Fhd 144hz,1920 x 1080,Full HD (FHD),7535HS,7. Nesil,AMD Ryzen 5,6,Free Dos,N/A
16 GB,USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,DDR4,N/A,4 GB ve altı,Harici,165 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.2,N/A,IPS,20.199 TL,8 GB,DDR4,Siyah/Kırmızı,512 GB,3.3,"Ideapad Gaming 3 AMD Ryzen 5 5500H 8GB 512GB SSD RTX2050 Freedos 15.6"" FHD 82K202BRTX",1920 x 1080,Full HD (FHD),5500H,5. Nesil,AMD Ryzen 5,6,Free Dos,3 Saat ve Altı
64 GB,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,1 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,43.799 TL,32 GB,DDR4,Gri,1 TB,Belirtilmemiş,Excalibur G870.1270-DFB0X-B i7 12700H 32GB RAM 1TB NVMe 8 GB SSD RTX4060 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,6 Saat ve Üstü
16 GB,USB - Bluetooth - HDMI,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,55W,4 GB ve altı,Harici,144 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,28.089 TL,16 GB,DDR4,Siyah,500 GB,2.3,"Abra A5 V21.3 Intel Core i7 12700H 16 GB RAM 500 GB SSD 4 GB RTX 2050 FreeDOS 15,6"" FHD 144 Hz",1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat
64 GB,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,N/A,IPS,30.999 TL,16 GB,DDR4,Gri,500 GB,N/A,Excalibur G870.1245-BVA0X-B Core i5-12450H 16GB RAM 500GB NVME SSD 6GB RTX4050 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
16 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,Belirtilmemiş,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,34.999 TL,8 GB,DDR5,Renkli,512 GB,N/A,LOQ 15IAX9 83GS007XTR i5-12450HX 8GB 512 GB SSD RTX 4060 GDDR6 15.6'' FHD FreeDOS Gaming (Oyu,1920 x 1080,Full HD (FHD),Belirtilmemiş,12. Nesil,Intel Core i5,8,Free Dos,N/A
