Arttırılabilir Azami Bellek,Bağlantılar,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Garanti Süresi,Garanti Tipi,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Menşei,Panel Tipi,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,Temel İşlemci Hızı (GHz),Title,Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi
N/A,Bluetooth - HDMI,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmasız),Oyun,N/A,N/A,IPS,41.599 TL,16 GB,DDR5,Mika Gümüşü,512 GB,N/A,"Victus 16-R0075NT 8V899EA i5-13500H 16GB 512GB SSD 8GB RTX 4060 16.1"" FHD FreeDOS Mika Gümüşü",1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12+,Free Dos,N/A
N/A,HDMI,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,N/A,8 GB,Harici,165 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q İngilizce,Oyun,N/A,N/A,IPS,79.399 TL,16 GB,DDR5,Siyah,512 GB,N/A,Gaming Alienware M16 R1 AWM16I7X70WH i7-13700HX 16GB 512GB RTX4070 16inç QHD W11H Gaming Laptop,2560 x 1600,QHD+,13700HX,13. Nesil,Intel Core i7,16,Windows,N/A
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,N/A,N/A,IPS,,16 GB,DDR5,Koyu mavi,1 TB,N/A,"Victus 16-R0007NT 7P6B3EA08 i7-13700H 16GB 1TBSSD RTX4070 16.1"" FullHD W11P Taşınabilir Bilgisaya",1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Windows,N/A
64 GB,USB,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,105W,6 GB,Harici,144 Hz,2 Yıl,Game Garaj Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.5,N/A,IPS,"39.133,15 TL",32 GB,DDR5,Siyah,1 TB,3.3,"Slayer R5xl-4050 C2 Amd R5-7535hs 32gb Ram 1tb Ssd Rtx4050 17.3"" Fhd Ips 144hz Freedos Bilgisayar",1920 x 1080,Full HD (FHD),7535HS,7. Nesil,AMD Ryzen 5,6,Free Dos,3 Saat ve Altı
16 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,DDR5,N/A,6 GB,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,38.999 TL,16 GB,DDR5,Beyaz,512 GB,N/A,"Victus 16-r1077nt I5 14500hx 16 Gb 512 Gb Ssd Rtx4050-6gb Freedos 16.1"" Fhd 144 Hz Notebook 9j278ea",1920 x 1080,Full HD (FHD),14500HX,14. Nesil,Intel Core i5,14,Free Dos,N/A
N/A,HDMI - USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,37.499 TL,16 GB,DDR5,SİYAH,512 GB,2.4,"Nitro V 15 Core i7 13620H 16GB 512GB SSD Rtx 4050 Freedos 15.6"" FHD Notebook NH.QNBEY.005+165",1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Free Dos,3 Saat ve Altı
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,120 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,IPS,,16 GB,DDR5,Gri,512 GB,N/A,"Ideapad 3 82SB00UHTX19 Ryzen 5 6600H 16GB 512SSD RTX3050 15.6"" FHD W11P Dizüstü Bilgisayar-CN",1920 x 1080,Full HD (FHD),6600H,6. Nesil,AMD Ryzen 5,6,Windows,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,95W,6 GB,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,N/A,IPS,34.999 TL,32 GB,DDR5,Siyah,1 TB,3.1,"LOQ 15IAX9 Intel Core i5 12450HX 32GB 1 TB SSD RTX3050 15.6"" FHD Freedos 83GS0013TR-T39",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
N/A,USB - Bluetooth - HDMI,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.9,N/A,IPS,"53.698,99 TL",16 GB,DDR5,Siyah,512 GB,2.4,"CYBORG 15 i7-13620H 16gb 512gb SSD 15.6"" FHD 144Hz 8GB RTX4060 Fdos Gaming Laptop A13VF-893XTR",1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Free Dos,3 Saat ve Altı
16 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,100W,6 GB,Harici,144 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,40.799 TL,16 GB,DDR4,Siyah,500 GB,2.3,"Abra A7 V15.2 Intel Core i7 12700H 16 GB RAM 500 GB SSD 6 GB RTX 4050 FreeDOS 17,3"" FHD 144 Hz",1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat
16 GB,Bluetooth - HDMI,2 kg ve altı,Yok,16 inç,Nvidia GeForce GTX 1050,GDDR6,N/A,8 GB,Harici,165 Hz,2 Yıl,Asus Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmasız),Oyun,N/A,N/A,Full HD,36.599 TL,16 GB,DDR5,Siyah,512 GB,N/A,"TUF Gaming A16 FA617NSR-N3054 Ryzen 7 7435HS 16GB 512GB SSD 8GB RX7600S 16"" FHD+ 165Hz",1920 x 1200,FHD+,7435HS,7. Nesil,AMD Ryzen 7,8,Free Dos,N/A
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,140W,8 GB,Harici,240 Hz,2 Yıl,Game Garaj Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,+5,N/A,IPS,"55.994,75 TL",32 GB,DDR5,Siyah,1 TB,2.1,"Slayer4 7-4060 C2 Intel Core I7 14700hx 32gb Ram 1tb Ssd Rtx4060 16"" Qhd 240hz Ips Freedos",2560 x 1600,QHD,14700HX,14. Nesil,Intel Core i7,20,Free Dos,3 Saat ve Altı
N/A,USB - Bluetooth - HDMI,2 - 4 kg,Yok,17 inç,Nvidia GeForce RTX 4080,GDDR6,N/A,12 GB,Harici,240 Hz,2 Yıl,MSI Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,TN,113.699 TL,32 GB,DDR5,Siyah,2 TB,N/A,Vector 17 Hx A14vhg-838xtr Intel Core I9 14900hx 32gb 2tb Ssd Rtx4080 Freedos 17 Qhd 240hz Taşı,1920 x 1200,QHD+,14900HX,14. Nesil,Intel Core i9,24,Free Dos,N/A
